Date;No;HKD;PHP;JPY;MYR;SGD
19/09/2019 Kamis;1;783.080;52.28;108.05;4.19;1.38
20/09/2019 Jumat;2;783.776;52.05;107.57;4.17;1.38
22/09/2019 Minggu;3;783.895;52.06;107.72;4.17;1.38
23/09/2019 Senin;4;783.886;52.14;107.52;4.18;1.38
24/09/2019 Selasa;5;784.101;52.25;107.07;4.18;1.38
25/09/2019 Rabu;6;783.878;52.20;107.74;4.19;1.38
26/09/2019 Kamis;7;783.882;52.15;107.84;4.19;1.38
27/09/2019 Jumat;8;784.086;51.89;107.93;4.19;1.38
29/09/2019 Minggu;9;784.099;51.89;107.99;4.19;1.38
30/09/2019 Senin;10;783.920;51.83;108.06;4.20;1.38
01/10/2019 Selasa;11;784.278;51.94;107.76;4.18;1.39
02/10/2019 Rabu;12;784.436;51.99;107.17;4.18;1.38
03/10/2019 Kamis;13;784.220;51.84;106.89;4.18;1.38
04/10/2019 Jumat;14;783.998;51.69;106.91;4.19;1.38
06/10/2019 Minggu;15;784.259;51.68;106.68;4.19;1.38
07/10/2019 Senin;16;784.276;51.90;107.24;4.20;1.38
08/10/2019 Selasa;17;784.425;51.92;107.06;4.21;1.38
09/10/2019 Rabu;18;784.543;51.79;107.46;4.20;1.38
10/10/2019 Kamis;19;784.203;51.57;107.87;4.20;1.38
11/10/2019 Jumat;20;784.309;51.60;108.43;4.18;1.37
13/10/2019 Minggu;21;784.405;51.59;108.39;4.19;1.37
14/10/2019 Senin;22;784.533;51.60;108.38;4.18;1.37
15/10/2019 Selasa;23;784.532;51.60;108.84;4.18;1.37
16/10/2019 Rabu;24;784.491;51.34;108.73;4.17;1.37
17/10/2019 Kamis;25;784.393;51.27;108.63;4.17;1.36
18/10/2019 Jumat;26;784.368;51.08;108.42;4.19;1.36
20/10/2019 Minggu;27;784.243;51.18;108.44;4.20;1.36
21/10/2019 Senin;28;784.291;50.97;108.57;4.18;1.36
22/10/2019 Selasa;29;784.234;51.31;108.48;4.19;1.36
23/10/2019 Rabu;30;784.142;51.19;108.66;4.20;1.36
24/10/2019 Kamis;31;783.878;51.19;108.63;4.20;1.36
25/10/2019 Jumat;32;783.695;51.16;108.67;4.19;1.36
